name,isPartyConstant,partyCount,partyChanger,num,isFemale,isIndependent,isAkjol,isSDPK,isCommunist,isAtameken,isAtajurt,isRepublic,isArnamys,isAlga,isAdilet,isOther,isDvijAtajurt,isBirbol,isKyrgyzstan,isOnuguu,isRepAtajurt,allParties,sozyv,party,sozyvMisser,idname
Абдиев Курмантай,0,1,0,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,",,,,Ата-Журт,",5,Ата-Журт,,0
Абдимомунов Алишер,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Өзүн көрсөткөндөр,,,,",2,Өзүн көрсөткөндөр,,1
Абдраимов Туйгунаалы Дуйшеналиевич,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Өзүн көрсөткөндөр,,,,,",1,Өзүн көрсөткөндөр,,2
Абдрисаев Бактыбек Дюшенович,0,1,0,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Өзүн көрсөткөндөр,,,,,",1,Өзүн көрсөткөндөр,,3
Абдуллаев Абдурахман Абдусаттарович,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Алга Кыргызстан,,,",3,Алга Кыргызстан,,4
Абдуллаев Абдусатар,0,1,0,73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Өзүн көрсөткөндөр,,,,,",1,Өзүн көрсөткөндөр,,5
Абдуллаева Чолпон Галийаскеровна,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ак Жол,,",4,Ак Жол,,6
Абдурасулов Ином Эргашевич,0,1,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,Өзүн көрсөткөндөр,,,",3,Өзүн көрсөткөндөр,,7
Абдурасулова Тажиниса,0,1,0,75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Өзүн көрсөткөндөр,,,,",2,Өзүн көрсөткөндөр,,8
Абдыкеримов Шаршенбек Шайлообекович,0,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,",,,,,Кыргызстан",6,Кыргызстан,,9
Абдылдаев Бакытбек Табылдиевич,0,1,0,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Өзүн көрсөткөндөр,,,,,",1,Өзүн көрсөткөндөр,,10
Абдылдаев Мыктыбек Юсупович,0,2,1,43,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,",,,,Ата-Журт,Бир Бол",5,Ата-Журт,1.0,11
Абдылдаев Мыктыбек Юсупович,0,2,1,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,",,,,Ата-Журт,Бир Бол",6,Бир Бол,1.0,11
Абдылдаев Нурдин Туратбекович,0,1,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Алга Кыргызстан,,,",3,Алга Кыргызстан,,12
Абдылдаев Таалайбек Адылбаевич,0,1,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Өзүн көрсөткөндөр,,,,",2,Өзүн көрсөткөндөр,,13
Абдыраимова Роза Асановна,0,1,0,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ак Жол,,",4,Ак Жол,,14
Абдырасаков Бейшенбек Токтобаевич,0,1,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ак Жол,,",4,Ак Жол,,15
Абдырахманов Омурбек,0,1,0,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,",,,,Ата Мекен,",5,Ата Мекен,,16
Абжалиев Алиярбек Токобекович,0,2,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,",,Өзүн көрсөткөндөр,,,Республика - Ата Журт",3,Өзүн көрсөткөндөр,3.0,17
Абжалиев Алиярбек Токобекович,0,2,0,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,",,Өзүн көрсөткөндөр,,,Республика - Ата Журт",6,Республика - Ата Журт,3.0,17
Абсатаров Абдыкайым Полотович,0,1,0,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Өзүн көрсөткөндөр,,,,,",1,Өзүн көрсөткөндөр,,18
Авдеев Валерий Михайлович,0,1,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Өзүн көрсөткөндөр,,,,,",1,Өзүн көрсөткөндөр,,19
Адамбеков Доктурбек Адамбекович,0,1,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Өзүн көрсөткөндөр,,,,,",1,Өзүн көрсөткөндөр,,20
Азыранкулов Айбек Джаныбекович,0,1,0,97,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,КСДП,,",4,КСДП,,21
Айбалаев Мамат Марипович,0,1,0,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Өзүн көрсөткөндөр,,,,,",1,Өзүн көрсөткөндөр,,22
Айдаров Нургазы Абдыраевич,0,3,1,15,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,",Өзүн көрсөткөндөр,,Ак Жол,Ата-Журт,",2,Өзүн көрсөткөндөр,2.0,23
Айдаров Нургазы Абдыраевич,0,3,1,39,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,",Өзүн көрсөткөндөр,,Ак Жол,Ата-Журт,",4,Ак Жол,2.0,23
Айдаров Нургазы Абдыраевич,0,3,1,67,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,",Өзүн көрсөткөндөр,,Ак Жол,Ата-Журт,",5,Ата-Журт,2.0,23
Айдаров Салайдин Абдираевич,0,1,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,",,,,,Кыргызстан",6,Кыргызстан,,24
Айнакулов Мухтарбек Айнакулович,0,1,0,114,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,,,КСДП",6,КСДП,,25
Айтматов Куштарбек Суюнбаевич,0,1,0,84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,",,,,Республика,",5,Республика,,26
Айтматов Чынгыз Торокулович,0,1,0,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Өзүн көрсөткөндөр,,,,,",1,Өзүн көрсөткөндөр,,27
Айтматова Ширин,0,1,0,27,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,",,,,Ата Мекен,",5,Ата Мекен,,28
Акаев Айдар Аскарович,0,1,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,Өзүн көрсөткөндөр,,,",3,Өзүн көрсөткөндөр,,29
Акаев Асанкул,0,1,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Өзүн көрсөткөндөр,,,,",2,Өзүн көрсөткөндөр,,30
Акаев Жанарбек Кубанычович,0,1,0,122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,,,КСДП",6,КСДП,,31
Акималиев Джамин,0,1,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Өзүн көрсөткөндөр,,,,,",1,Өзүн көрсөткөндөр,,32
Акказиев Булат Акунович,0,1,0,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Өзүн көрсөткөндөр,,,,,",1,Өзүн көрсөткөндөр,,33
Акматбаев Таберик Коноевич,0,1,0,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Өзүн көрсөткөндөр,,,,,",1,Өзүн көрсөткөндөр,,34
Акматбеков Зарылбек,0,1,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Өзүн көрсөткөндөр,,,,,",1,Өзүн көрсөткөндөр,,35
Акматов Алмазбек Жумабекович,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,",,,,,Бир Бол",6,Бир Бол,,36
Акназарова Роза Корчубековна,0,2,0,65,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,",Өзүн көрсөткөндөр,,,Республика,",2,Өзүн көрсөткөндөр,3.0,37
Акназарова Роза Корчубековна,0,2,0,85,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,",Өзүн көрсөткөндөр,,,Республика,",5,Республика,3.0,37
Акрамов Эрнаст Хашимович,0,1,0,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ак Жол,,",4,Ак Жол,,38
Акулуев Жуман Кемелович,0,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Өзүн көрсөткөндөр,,,,",2,Өзүн көрсөткөндөр,,39
Акунов Бейшебек Акунович,0,2,0,74,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,",Өзүн көрсөткөндөр,,Коммунисттер партиясы,,",2,Өзүн көрсөткөндөр,2.0,40
Акунов Бейшебек Акунович,0,2,0,80,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,",Өзүн көрсөткөндөр,,Коммунисттер партиясы,,",4,Коммунисттер партиясы,2.0,40
Акылбеков Искендер Кадырбекович,0,1,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Өзүн көрсөткөндөр,,,,",2,Өзүн көрсөткөндөр,,41
Алимбеков Нурбек Каарыевич,0,2,1,92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,",,,,Республика,Кыргызстан",5,Республика,1.0,42
