name,isPartyConstant,partyCount,partyChanger,num,isFemale,isIndependent,isAkjol,isSDPK,isCommunist,isAtameken,isAtajurt,isRepublic,isArnamys,isAlga,isAdilet,isOther,isDvijAtajurt,isBirbol,isKyrgyzstan,isOnuguu,isRepAtajurt,allParties,sozyv,party,sozyvMisser,idname
Акималиев Джамин,0,1,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,32
Акказиев Булат Акунович,0,1,0,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,33
Акматбаев Таберик Коноевич,0,1,0,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,34
Акматбеков Зарылбек,0,1,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,35
Акматов Алмазбек Жумабекович,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,",,,,,Bir Bol",6,Bir Bol,,36
Акназарова Роза Корчубековна,0,2,0,65,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,",Independent,,,Republic,",2,Independent,3.0,37
Акназарова Роза Корчубековна,0,2,0,85,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,",Independent,,,Republic,",5,Republic,3.0,37
Акрамов Эрнаст Хашимович,0,1,0,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,,",4,Ak Jol,,38
Акулуев Жуман Кемелович,0,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,,,",2,Independent,,39
Акунов Бейшебек Акунович,0,2,0,74,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,Communist party,,",2,Independent,2.0,40
Акунов Бейшебек Акунович,0,2,0,80,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,Communist party,,",4,Communist party,2.0,40
Акылбеков Искендер Кадырбекович,0,1,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,,,",2,Independent,,41
Алимбеков Нурбек Каарыевич,0,2,1,92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,",,,,Republic,Kyrgyzstan",5,Republic,1.0,42
Алимбеков Нурбек Каарыевич,0,2,1,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,",,,,Republic,Kyrgyzstan",6,Kyrgyzstan,1.0,42
Алтыбаева Айнура Тойчиевна,0,2,1,21,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,",,,,Ar-Namys,SDPK",5,Ar-Namys,1.0,43
Алтыбаева Айнура Тойчиевна,0,2,1,142,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,",,,,Ar-Namys,SDPK",6,SDPK,1.0,43
Алтынбеков Айбек,0,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,",,,,,Republic - Ata Jurt",6,Republic - Ata Jurt,,44
Алыбаев Орозбек Артельевич,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,",,,,,Kyrgyzstan",6,Kyrgyzstan,,45
Алыкулов Муканбек Калмаматович,0,2,0,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,Independent,,,,",1,Independent,1.0,46
Алыкулов Муканбек Калмаматович,0,2,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,Independent,,,,",2,Independent,1.0,46
Алыкулов Тыныбек Маматжанович,0,1,0,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,47
Алымбеков Бактыбек Маданбекович,0,1,0,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,,,",2,Independent,,48
Алымбеков Замирбек Маданбекович,0,1,0,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,,SDPK,",5,SDPK,,49
Алымбеков Эркинбек Джумабаевич,0,2,0,36,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,",,Independent,,Ata Meken,",3,Independent,2.0,50
Алымбеков Эркинбек Джумабаевич,0,2,0,37,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,",,Independent,,Ata Meken,",5,Ata Meken,2.0,50
Алымкулов Карыпбек,0,1,0,73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,,,",2,Independent,,51
Аманбаева Урулкан Абдилашимовна,0,1,0,71,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,",,,,Republic,",5,Republic,,52
Аманкулов Марат Аскерович,0,1,0,136,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,,,SDPK",6,SDPK,,53
Анаркулов Тургунбай,0,1,0,76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,54
Арабаев Автандил Анисович,0,1,0,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,,",4,Ak Jol,,55
Арапбаев Азамат Абдуллажанович,0,3,1,46,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,Ata-Jurt,SDPK",4,Ak Jol,1.0,56
Арапбаев Азамат Абдуллажанович,0,3,1,70,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,Ata-Jurt,SDPK",5,Ata-Jurt,1.0,56
Арапбаев Азамат Абдуллажанович,0,3,1,138,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,Ata-Jurt,SDPK",6,SDPK,1.0,56
Арипов Назарали Турдалиевич,0,1,0,75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,",,,,Republic,",5,Republic,,57
Аркабаев Номанжан Акматович,0,1,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,Independent,,,",3,Independent,,58
Арсалиев Эрик Сайдалиевич,0,1,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,,",4,Ak Jol,,59
Арстанбеков Акылбек Советбекович,0,1,0,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,Independent,,,",3,Independent,,60
Артыкбаев Осмонбек Мамбетжанович,0,3,1,21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Alga Kyrgyzstan,SDPK,,SDPK",3,Alga Kyrgyzstan,2.0,61
Артыкбаев Осмонбек Мамбетжанович,0,3,1,96,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Alga Kyrgyzstan,SDPK,,SDPK",4,SDPK,2.0,61
Артыкбаев Осмонбек Мамбетжанович,0,3,1,125,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Alga Kyrgyzstan,SDPK,,SDPK",6,SDPK,2.0,61
Артыков Анвар Артыкович,0,3,1,14,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"Independent,,,,Ar-Namys,SDPK",1,Independent,4.0,62
